editDistance,10
averageBracket,2172.5
packageSize,460690
dependencyNumber,0
devDependencyNumber,0
jsFileNumber,2
bracketNumber,4345
hasInstallScript,true
containIP,true
useBase64Conversion,true
containBase64String,true
createBufferFromASCII,true
containBytestring,false
containDomain,true
useBufferFrom,true
useEval,false
requireChildProcessInJSFile,true
requireChildProcessInInstallScript,true
accessFSInJSFile,true
accessFSInInstallScript,true
accessNetworkInJSFile,true
accessNetworkInInstallScript,true
accessProcessEnvInJSFile,true
accessProcessEnvInInstallScript,true
containSuspicousString,true
useCrpytoAndZip,true
accessSensitiveAPI,false
